,Word,New POS,Frequency
802,criminal,Adjective,3
1064,rebel,Noun,3
475,step,Noun,3
800,fame,Noun,3
664,anymore,Adverb,3
821,email,Noun,3
446,went,Verb,3
379,kind,Noun,3
858,yet,Adverb,3
137,angry,Adjective,3
136,extremely,Adverb,3
387,built,Verb,3
388,either,Other,3
395,doesnt,Verb,3
397,thats,Verb,3
403,were,Other,3
864,haiti,Noun,3
837,hundred,Noun,3
867,foundation,Noun,3
828,general,Adjective,3
116,constitution,Noun,3
438,mention,Verb,3
113,theyre,Adjective,3
444,along,Adverb,3
94,such,Adjective,3
508,worse,Adjective,3
93,fact,Noun,3
601,during,Other,3
53,apologize,Verb,3
609,free,Adjective,3
610,more,Adverb,3
611,horrible,Adjective,3
994,mistake,Noun,3
620,bringing,Verb,3
631,25,Other,3
723,something,Noun,3
932,voter,Noun,3
941,registered,Verb,3
698,totally,Adverb,3
693,lied,Verb,3
966,fighting,Verb,3
947,vote,Verb,3
683,100,Other,3
661,lost,Verb,3
662,weve,Verb,3
728,department,Noun,3
596,love,Verb,3
91,important,Adjective,3
583,nato,Noun,3
506,trillion,Other,3
776,today,Noun,3
950,shouldnt,Verb,3
770,story,Noun,3
769,rid,Adjective,3
910,sat,Verb,3
15,court,Noun,3
754,migration,Noun,3
534,renegotiate,Verb,3
750,frankly,Adverb,3
744,million,Other,3
541,south,Noun,3
542,korea,Noun,3
551,different,Adjective,3
742,dollar,Noun,3
552,lie,Noun,3
575,nothing,Noun,3
378,worst,Adjective,3
540,germany,Noun,3
319,barack,Noun,3
260,unfair,Adjective,3
290,hillary,Adjective,3
334,keep,Verb,3
301,first,Noun,3
236,mother,Noun,3
190,ran,Verb,3
242,based,Verb,3
187,given,Verb,3
239,ok,Noun,3
275,killed,Verb,3
1155,replace,Verb,3
321,all,Noun,3
312,biggest,Adjective,3
210,another,Other,3
156,chicago,Noun,3
368,nice,Adjective,3
164,could,Other,3
227,terrible,Adjective,3
211,two,Other,3
1112,machine,Noun,3
323,single,Adjective,3
1139,grow,Verb,3
310,new,Noun,3
329,destroying,Verb,3
340,build,Verb,3
366,mexico,Noun,3
279,illegally,Adverb,3
746,agree,Verb,2
915,known,Verb,2
745,loan,Noun,2
554,quote,Noun,2
555,find,Verb,2
1023,gained,Verb,2
562,college,Noun,2
556,yourselves,Noun,2
1021,gain,Verb,2
1120,political,Adjective,2
258,amnesty,Noun,2
1019,might,Other,2
563,tuition,Noun,2
77,win,Verb,2
1015,yeah,Other,2
574,powerful,Adjective,2
183,endorsement,Noun,2
734,mess,Noun,2
548,shes,Verb,2
1150,right,Verb,2
547,weapon,Noun,2
760,vacuum,Noun,2
771,largely,Adverb,2
1042,aleppo,Noun,2
515,general,Noun,2
767,32,Other,2
517,21,Other,2
1040,fallen,Verb,2
14,supreme,Noun,2
765,sitting,Verb,2
1137,work,Noun,2
526,off,Adverb,2
761,group,Noun,2
759,huge,Adjective,2
914,street,Noun,2
758,created,Verb,2
1031,judgment,Noun,2
1030,sander,Noun,2
1029,bernie,Noun,2
1207,latino,Noun,2
1206,africanamericans,Noun,2
1027,podesta,Noun,2
203,prolife,Adjective,2
753,take,Noun,2
226,determination,Noun,2
752,record,Noun,2
577,protect,Verb,2
924,dishonest,Adjective,2
579,arent,Noun,2
581,heard,Verb,2
627,cut,Verb,2
628,massively,Adverb,2
985,winner,Noun,2
708,didnt,Noun,2
706,30,Other,2
705,question,Noun,2
638,gdp,Noun,2
703,ask,Verb,2
644,growing,Verb,2
973,element,Noun,2
270,gotten,Noun,2
970,reading,Verb,2
696,standard,Noun,2
653,down,Other,2
695,gold,Adjective,2
694,call,Verb,2
40,toward,Other,2
272,period,Noun,2
658,election,Noun,2
196,best,Adjective,2
663,making,Verb,2
667,product,Noun,2
686,kicked,Verb,2
670,community,Noun,2
685,suffer,Verb,2
684,boy,Verb,2
673,education,Noun,2
986,eventually,Adverb,2
712,involved,Verb,2
623,new,Adjective,2
603,regime,Noun,2
582,questioned,Verb,2
1121,hack,Noun,2
923,medium,Noun,2
727,mind,Noun,2
925,corrupt,Adjective,2
590,sudden,Adjective,2
1005,letter,Noun,2
1004,write,Verb,2
67,uphold,Verb,2
65,opinion,Noun,2
597,ally,Noun,2
300,endorsed,Verb,2
1157,repeal,Verb,2
622,terminate,Verb,2
297,ice,Noun,2
1122,bigger,Adjective,2
996,happening,Verb,2
720,position,Noun,2
294,patrol,Noun,2
1124,whom,Other,2
146,upset,Adjective,2
717,turned,Verb,2
616,florida,Noun,2
618,york,Noun,2
1125,back,Verb,2
714,experience,Noun,2
90,absolutely,Adverb,2
613,economy,Noun,2
810,wasnt,Verb,2
811,10,Other,2
411,citizen,Noun,2
412,somebody,Noun,2
826,congress,Noun,2
875,buy,Verb,2
824,criminally,Adverb,2
420,off,Other,2
421,ok,Other,2
235,womb,Noun,2
237,prior,Adverb,2
817,fictionalized,Verb,2
885,fisher,Noun,2
798,plane,Noun,2
436,wont,Verb,2
158,toughest,Adjective,2
1069,end,Verb,2
888,veteran,Noun,2
