Word,New POS,Frequency
wasnt,Noun,1
haveand,Noun,1
wellwell,Noun,1
process,Noun,1
date,Noun,1
pouring,Noun,1
hampshire,Noun,1
complaint,Noun,1
problemsthe,Noun,1
blood,Noun,1
plenty,Noun,1
absolutewe,Noun,1
oneswe,Noun,1
say,Noun,1
pivot,Noun,1
government,Noun,1
ii,Noun,1
wouldnt,Noun,1
whether,Noun,1
startup,Noun,1
spent,Noun,1
whatsoever,Noun,1
admiral,Noun,1
medal,Noun,1
honor,Noun,1
recipient,Noun,1
islamic,Noun,1
terrorism,Noun,1
word,Noun,1
trouble,Noun,1
warheads1800,Noun,1
waywhere,Noun,1
person,Noun,1
candidate,Noun,1
borderas,Noun,1
bent,Noun,1
scholar,Noun,1
founder,Noun,1
ofofand,Noun,1
dc,Noun,1
v,Noun,1
heller,Noun,1
upheld,Noun,1
scalia,Noun,1
themthe,Noun,1
ginsburg,Noun,1
siege,Noun,1
opponent,Noun,1
race,Noun,1
replica,Noun,1
trauma,Noun,1
tonight,Noun,1
birth,Noun,1
audience,Noun,1
child,Noun,1
father,Noun,1
prolife,Noun,1
supporter,Noun,1
manner,Noun,1
nra,Noun,1
justicesthis,Noun,1
damage,Noun,1
judge,Noun,1
businessoff,Noun,1
transpacific,Noun,1
asset,Noun,1
billion,Noun,1
proud,Noun,1
libya,Noun,1
whenwe,Noun,1
feeling,Noun,1
clip,Noun,1
peoplethey,Noun,1
break,Noun,1
turn,Noun,1
debate,Noun,1
hell,Noun,1
aspect,Noun,1
youve,Noun,1
steel,Noun,1
imake,Noun,1
cause,Noun,1
subpoena,Noun,1
fourstar,Noun,1
paper,Noun,1
jail,Noun,1
love,Noun,1
qatar,Noun,1
push,Noun,1
gay,Noun,1
fight,Noun,1
waybecause,Noun,1
wife,Noun,1
thesei,Noun,1
thei,Noun,1
fistfight,Noun,1
riot,Noun,1
minute,Noun,1
totallyit,Noun,1
partnership,Noun,1
boy,Noun,1
thisthis,Noun,1
agoall,Noun,1
credit,Noun,1
fan,Noun,1
obamas,Noun,1
debt,Noun,1
planwere,Noun,1
pennsylvania,Noun,1
ohio,Noun,1
liar,Noun,1
fortune,Noun,1
bargain,Noun,1
century,Noun,1
agreement,Noun,1
proponent,Noun,1
public,Noun,1
increase,Noun,1
imnot,Noun,1
dealthen,Noun,1
vietnam,Noun,1
end,Noun,1
factory,Noun,1
bill,Noun,1
level,Noun,1
engine,Noun,1
correct,Noun,1
representative,Noun,1
india,Noun,1
vote,Noun,1
